country	rank	area	landAreaKm	cca2	cca3	netChange	growthRate	worldPercentage	density	densityMi	place	pop2023
India	1	3287590	2973190	IN	IND	0.4184	0.0081	0.1785	480.5033	1244.5036	356	1428627663
China	2	9706961	9424702.9	CN	CHN	-0.0113	-0.0002	0.1781	151.2696	391.7884	156	1425671352
United States	3	9372610	9147420	US	USA	0.0581	0.005	0.0425	37.1686	96.2666	840	339996563
Indonesia	4	1904569	1877519	ID	IDN	0.0727	0.0074	0.0347	147.8196	382.8528	360	277534122
Pakistan	5	881912	770880	PK	PAK	0.1495	0.0198	0.03	311.9625	807.9829	586	240485658
Nigeria	6	923768	910770	NG	NGA	0.168	0.0241	0.028	245.7312	636.4439	566	223804632
Brazil	7	8515767	8358140	BR	BRA	0.0393	0.0052	0.027	25.8936	67.0645	76	216422446
Bangladesh	8	147570	130170	BD	BGD	0.0557	0.0103	0.0216	1328.6803	3441.2821	50	172954319
Russia	9	17098242	16376870	RU	RUS	-0.0158	-0.0019	0.018	8.82	22.8439	643	144444359
Mexico	10	1964375	1943950	MX	MEX	0.0299	0.0075	0.016	66.0797	171.1463	484	128455567
Ethiopia	11	1104300	1128571.3	ET	ETH	0.1008	0.0255	0.0158	112.1126	290.3716	231	126527060
